목숨걸고 시간을 측정하는 가장 과학적인 방법 (문과vs이과),11:05,조회수 5.3천회,18분 전
화염방사기로도 녹이지 못 하는 얼음 (으로 문과 친구 골탕 먹이기ㅋㅋㅋ),12:25,조회수 25만회,4일 전
우주로 보낸 치킨 원본 영상 (낙하소리 있음),39:09,조회수 26만회,6일 전
치킨을 우주로 발사해봤습니다... 이걸 찾을 수 있을까요?ㅋㅋㅋ (합성아님),23:14,조회수 91만회,7일 전
350년 된 들리지 않는 돌??... 직접 한번 만들어서 실험해 봤습니다.,11:52,조회수 37만회,12일 전
드럼통으로 만든 회전하는 바베큐 머신...에서 왜 닭백숙 맛이...? (나모 is back),20:50,조회수 34만회,2주 전
과학영재가 설계한 미래형 리어카!? 대회에서 1등한 혁신적인 기능들...,10:09,조회수 163만회,3주 전
해외에서 난리라는 자물쇠를 푸는 이 영상... 이게 되는 거였어?,10:26,조회수 413만회,3주 전
해명하겠습니다...,10:07,조회수 108만회,1개월 전
해외에서 난리라는 유체 무한동력 동영상.. 진짜 가능한 걸까?,7:40,조회수 103만회,1개월 전
츄파춥스를 쉽게 까는 세 가지 방법,5:05,조회수 14만회,1개월 전
눈 위에서 타는 자전거 보쉴?ㅋㅋㅋ,18:19,조회수 54만회,1개월 전
예상을 뒤집어 엎는 과학 현상들... 왜 이런 일이 생기는 걸까?,8:54,조회수 39만회,1개월 전
"공구계의 혁신, 방향 없는 볼트! 얼마나 실용적인지 직접 실험해 봤더니ㄷㄷ",16:06,조회수 46만회,1개월 전
이 기계는 손에 귤 한방울 묻히지 않고 까줍니다,7:13,조회수 40만회,1개월 전
해외에서 난리난 에어팟 피젯스피너... 업그레이드 시켜봤습니다 ㅋㅋㅋㅋㅋㅋ,14:22,조회수 37만회,1개월 전
국내 최초로 공개된 바다로봇..아무도 몰랐던 이 로봇의 충격적인 비밀 임무?,7:47,조회수 7.6만회,1개월 전
학생들의 영혼을 갈아 넣어 만든 특수 로봇....대체 무슨 용도로 만들었을까?,9:49,조회수 12만회,2개월 전
공중부양 수도꼭지.. 이게 진짜 가능한 걸까?..(집에서 하면 무조건 엄마한테 혼나는 실험),14:15,조회수 48만회,2개월 전
유리병 속에 갇힌 달걀을 꺼내보라고 했더니.. (이과vs문과),8:02,조회수 25만회,2개월 전
해외에서 난리난 암살자의 주전자… 원하는 곳에 원하는 액체만 따를 수 있다…?,14:05,조회수 108만회,2개월 전
공대생이 건조한 날씨 때문에 빡쳐서 만든 초대형 가습기 ㅋㅋㅋㅋㅋㅋ,12:33,조회수 40만회,2개월 전
고등학생 혼자서 100일 동안 만든 노트북? 돌아가는 프로그램의 상태가…,17:46,조회수 117만회,2개월 전
[홈비디오] 진짜 나무로 크리스마스 트리 꾸미기ㅋㅋㅋㅋㅋ,12:59,조회수 9만회,3개월 전
42억개 주문 들어온 무한동력 구슬멍 키트... 제품 발표회 열었는데 아무도 안왔다 (실제 판매량 공개...),30:43,조회수 25만회,3개월 전
"흡입력 세계 챔피언에게 빨대를 준다면, 건물 꼭대기에서 물을 마실 수 있을까?",11:41,조회수 55만회,3개월 전
"대답 못하면 물벼락 샤워ㅋㅋㅋ 🎄 크리스마스 기념 2년만에 하는 Q&A!  메이킹 비용, 여자친구, 긱블 취업 방법.. 이건 좀 귀한 걸",16:37,조회수 18만회,3개월 전
보조배터리 3개로 무한 전기 생성하는 진짜 방법... 공대생이 해냈다..?!,9:11,조회수 40만회,3개월 전
해외에서 난리라는 방향 없는 볼트.. 공구계의 혁신일까? 상술일까? 직접 써봤더니,13:37,조회수 134만회,3개월 전
"이 상황에서, 경찰이 도둑을 잡을 수 있는 방법은? (옆사람한테 바로 써먹을 수 있는 신박한 보드게임ㅋㅋㅋ)",11:58,조회수 68만회,3개월 전
